user_id,item_id,response
1,1,0.9333333333333332
2,2,0.9833333333333334
3,3,0.9666666666666666
4,4,1.0
5,5,0.8666666666666668
6,6,0.9333333333333332
7,7,1.0
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,0.975
13,13,1.0
14,14,0.95
15,15,1.0
16,16,0.9333333333333332
17,17,1.0
18,18,1.0
19,19,0.9833333333333332
20,20,0.9833333333333332
21,21,1.0
22,22,1.0
23,23,1.0
24,24,0.9833333333333332
25,25,0.9833333333333332
26,26,1.0
27,27,0.975
28,28,1.0
29,29,0.95
30,30,0.9833333333333332
31,31,1.0
32,32,0.975
33,33,1.0
34,34,0.95
35,35,0.9
36,36,0.9833333333333334
37,37,1.0
38,38,0.9583333333333333
39,39,1.0
40,40,0.9833333333333334
41,41,0.9833333333333334
42,42,1.0
43,43,1.0
44,44,0.9833333333333334
45,45,0.9833333333333334
46,46,1.0
47,47,1.0
48,48,1.0
49,49,1.0
50,50,0.9833333333333334
51,51,0.975
52,52,1.0
53,53,0.95
54,54,0.9833333333333332
55,55,1.0
56,56,0.9333333333333332
57,57,0.9833333333333334
58,58,0.95
59,59,1.0
60,60,1.0
61,61,1.0
62,62,0.9833333333333334
63,63,1.0
64,64,1.0
65,65,1.0
66,66,1.0
67,67,1.0
68,68,1.0
69,69,1.0
70,70,0.9333333333333332
